id,brand,model,model_year,milage,engine,transmission,accident,price
2634,Acura,RDX Technology Package,3,42609,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,None reported,32662
5425,Acura,TLX Type S w/Performance Tire,3,19400,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,38500
6305,Acura,RDX w/A-Spec Package,3,24781,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,At least 1 accident or damage reported,40655
6822,Acura,TLX Type S w/Performance Tire,3,85000,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,55000
8252,Acura,RDX Technology Package,3,10376,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,None reported,83900
9166,Acura,MDX w/Technology Package,3,31157,3.5L 24V SOHC I-VTEC V6,9-Speed Automatic,None reported,57480
10146,Acura,RDX Advance Package,3,29000,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,36000
15453,Acura,NSX Base,3,28644,3.5L V6 24V PDI DOHC Hybrid,9-Speed Automatic with Auto-Shift,None reported,73600
22638,Acura,RDX Advance Package,3,38360,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,None reported,39366
28818,Acura,RDX PMC Edition,3,59257,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,At least 1 accident or damage reported,40655
29010,Acura,TLX Type S w/Performance Tire,3,4700,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,52000
31813,Acura,MDX Sport Hybrid 3.0L w/Technology Package,3,6900,321.0HP 3.0L V6 Cylinder Engine Gas/Electric Hybrid,9-Speed A/T,None reported,41899
33239,Acura,RDX Advance Package,3,29000,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,39650
33835,Acura,ILX Premium Package,3,31112,2.4L I4 16V GDI DOHC,10-Speed Automatic,At least 1 accident or damage reported,417500
34049,Acura,RDX PMC Edition,3,2353,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,None reported,2954083
37529,Acura,RDX Advance Package,3,39000,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,31900
38353,Acura,RDX Technology Package,3,48210,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,51999
44799,Acura,RDX Advance Package,3,9400,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,None reported,31599
47604,Acura,TLX A-Spec,3,16949,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,None reported,39366
48524,Acura,TLX PMC Edition,3,53700,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,37500
51366,Acura,RDX Technology Package,3,36544,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,None reported,33290
52501,Acura,RDX Advance Package,3,29336,2.0L I4 16V GDI DOHC Turbo,A/T,None reported,32999
53441,Acura,MDX Touring,3,13700,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,51999
