id,brand,model,model_year,milage,engine,transmission,accident,price
2805,Alfa,Romeo Stelvio Ti,6,26500,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,38000
3528,Alfa,Romeo Stelvio Ti,6,37045,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,26900
4794,Alfa,Romeo Giulia Quadrifoglio,6,75000,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,40000
5376,Alfa,Romeo Giulia Quadrifoglio,6,50000,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,48000
10895,Alfa,Romeo Stelvio Ti Sport,6,37045,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,39750
11199,Alfa,Romeo Stelvio Base,6,49000,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,36000
13619,Alfa,Romeo Stelvio Ti Sport,6,37045,280.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,32950
15551,Alfa,Romeo Giulia Ti,6,49899,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,51899
16738,Alfa,Romeo Giulia Quadrifoglio,6,29500,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,63500
20929,Alfa,Romeo Stelvio Base,6,26500,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,53800
21248,Alfa,Romeo Giulia Base,6,36000,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,32000
23448,Alfa,Romeo Stelvio Ti Sport,6,50850,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,27500
24449,Alfa,Romeo Stelvio Base,6,37000,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,27499
25603,Alfa,Romeo Stelvio Ti Sport,6,37045,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,22995
25631,Alfa,Romeo Giulia Quadrifoglio,6,28644,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,41500
29767,Alfa,Romeo Giulia Ti,6,21400,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,34999
33771,Alfa,Romeo Stelvio Ti Sport,6,37045,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,35750
34986,Alfa,Romeo Stelvio Ti Sport,6,49600,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,32500
35614,Alfa,Romeo Stelvio Ti Sport,6,38000,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,36500
37624,Alfa,Romeo Stelvio Ti Sport,6,40600,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,21800
38357,Alfa,Romeo Stelvio Ti Sport,6,37045,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,26000
40259,Alfa,Romeo Stelvio Ti Sport,6,37045,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,24700
43060,Alfa,Romeo Giulia Base,6,20200,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,44800
43677,Alfa,Romeo Giulia Ti,6,23339,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,None reported,47850
45065,Alfa,Romeo Giulia Ti,6,45253,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,28999
45617,Alfa,Romeo Stelvio Ti,6,68000,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,32999
