id,brand,model,model_year,milage,engine,transmission,accident,price
1334,Aston,Martin DBX Base,3,2353,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,None reported,159500
5460,Aston,Martin DBS Superleggera,3,22770,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,349950
10312,Aston,Martin DBS Superleggera,3,816,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,449995
11777,Aston,Martin DBX Base,3,2353,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,None reported,87150
14442,Aston,Martin DBS Superleggera,3,3158,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,175000
19957,Aston,Martin DBS Superleggera,3,12245,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,21999
24496,Aston,Martin DBS Superleggera,3,2165,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,489995
25806,Aston,Martin DBS Superleggera,3,19162,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,54900
40940,Aston,Martin DBX Base,3,3420,5.2L V12 48V GDI DOHC Twin Turbo,Automatic,None reported,59598
44443,Aston,Martin DBX Base,3,2353,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,None reported,159500
47945,Aston,Martin DBX Base,3,19291,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,None reported,44315
