id,brand,model,model_year,milage,engine,transmission,accident,price
1245,Audi,A6 3.0T Premium Plus,17,153000,272.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,9250
1722,Audi,S4 Base,17,99600,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,29950
1867,Audi,RS 4 Base,17,99769,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,34900
4496,Audi,A3 2.0T,17,98313,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,11500
7089,Audi,RS 4 Base,17,99769,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,29995
8199,Audi,A3 2.0T Tech Premium,17,83000,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,3499
9745,Audi,S4 Base,17,93000,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,10995
10899,Audi,RS 4 Base,17,95798,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,29995
14835,Audi,S4 Base,17,93000,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,4900
17714,Audi,RS 4 Base,17,99769,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,29995
20415,Audi,S4 Base,17,73500,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,15000
20635,Audi,A3 2.0T Premium,17,137273,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,12000
25159,Audi,A7 3.0T Premium Plus,17,142400,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,At least 1 accident or damage reported,10000
36079,Audi,A7 Premium,17,75124,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,16499
37105,Audi,S4 Base,17,73000,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,15000
42486,Audi,S4 Base,17,70700,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,20000
45357,Audi,TT Roadster quattro,17,130000,225.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,4000
45762,Audi,S4 Base,17,93000,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,10000
46024,Audi,S8 4.2 quattro,17,126000,360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,8999
47109,Audi,S4 3.0T Premium Plus,17,74500,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,37900
49946,Audi,TT 2.0T,17,122348,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,9000
