id,brand,model,model_year,milage,engine,transmission,accident,price
273,BMW,328 i xDrive,13,110000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,9400
562,BMW,Z4 3.0i Roadster,13,239000,215.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,7000
581,BMW,335 i,13,122600,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,12995
678,BMW,Z4 3.0i Roadster,13,91420,215.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,11900
883,BMW,M3 Base,13,98200,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,35000
887,BMW,M3 Base,13,129999,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,49999
900,BMW,335 i,13,82000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,13998
1310,BMW,X3 xDrive35i,13,186117,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,4000
1499,BMW,135 i,13,132000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,20000
1848,BMW,X1 xDrive28i,13,181830,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,7500
1877,BMW,X5 xDrive50i,13,110000,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,12000
2136,BMW,M3 Base,13,99897,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,10500
2220,BMW,328 i xDrive,13,125450,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,11500
2342,BMW,135 i,13,91545,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,15000
2860,BMW,M3 Base,13,136500,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,9985
2996,BMW,M3 Base,13,105000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,11100
3230,BMW,335 i,13,135000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,7000
3259,BMW,135 i,13,132000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10500
3316,BMW,335 i,13,67500,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,18000
3516,BMW,535 i xDrive,13,65000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,35000
3827,BMW,M235 i,13,72865,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,34500
3895,BMW,328 xi,13,120000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,8000
3945,BMW,750 Li xDrive,13,116157,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,8000
4146,BMW,X5 xDrive50i,13,110000,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,12000
4179,BMW,535 i xDrive,13,100780,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,12000
4495,BMW,328 i,13,132000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,18000
4754,BMW,Z4 3.0si,13,67998,255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,23000
4921,BMW,335 i,13,271000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,6000
4967,BMW,335 i xDrive,13,123500,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,7900
5375,BMW,328 i,13,153800,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,6250
5382,BMW,335 i,13,82849,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,20000
5499,BMW,M3 Base,13,50000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,21900
5580,BMW,X3 xDrive35i,13,75500,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,9000
5599,BMW,M4 Base,13,131000,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,4500
5601,BMW,328 i xDrive,13,120000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,11200
6007,BMW,M3 Base,13,65750,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,22500
6236,BMW,X5 xDrive35i,13,129999,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,7999
6300,BMW,M3 Base,13,105000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,21900
6303,BMW,535 i xDrive,13,135000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,9999
6306,BMW,M3 Base,13,56000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,46000
6436,BMW,M3 CS,13,127356,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,17000
6471,BMW,328 i xDrive,13,106000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,12500
6924,BMW,M3 Base,13,132000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,9500
7118,BMW,335 i,13,92008,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,12000
7385,BMW,335 i,13,92008,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10600
7552,BMW,M3 Base,13,114890,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,129000
7963,BMW,X3 xDrive35i,13,92008,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,11000
8192,BMW,135 i,13,91420,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,8200
8376,BMW,328 i xDrive,13,132000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,13700
8422,BMW,328 i xDrive,13,59715,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,10900
8561,BMW,M3 Base,13,81000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,35999
9140,BMW,335 i,13,103000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,12000
9154,BMW,335 i,13,118700,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,27000
9413,BMW,535 i xDrive,13,169000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,12000
9458,BMW,M3 Base,13,41314,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,38995
9568,BMW,328 i xDrive,13,110000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,6000
9603,BMW,335 i,13,73000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,16000
9841,BMW,335 i,13,87500,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,21000
10156,BMW,X1 xDrive28i,13,183544,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,6700
10178,BMW,M3 Base,13,74950,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,28000
10189,BMW,M3 Base,13,77800,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,22000
10587,BMW,M3 Base,13,112000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,28000
10707,BMW,535 i xDrive,13,125000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,12500
10745,BMW,X5 xDrive35i,13,72700,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,26450
10773,BMW,M3 Base,13,114890,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,71000
10906,BMW,535 i xDrive,13,135606,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,9888
10946,BMW,M3 Base,13,105000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,22500
10978,BMW,M3 Base,13,95450,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,17000
11173,BMW,X3 xDrive30i,13,170000,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,3200
11342,BMW,M3 Base,13,41000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,399900
11420,BMW,M3 Base,13,132200,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,49999
11717,BMW,335 i,13,91500,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,5499
11725,BMW,535 i xDrive,13,132000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,10999
12094,BMW,M3 Base,13,98200,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,At least 1 accident or damage reported,22500
12120,BMW,M3 Base,13,62500,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,12000
12618,BMW,335 i,13,91545,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,9000
12657,BMW,M3 Base,13,58000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,25000
12773,BMW,M3 Base,13,138514,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,140000
12911,BMW,M8 Base,13,83420,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,17500
12926,BMW,750 Li xDrive,13,106000,407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,9900
12994,BMW,328 i xDrive,13,116000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,9000
13355,BMW,M3 Base,13,105000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,21900
13484,BMW,335 is,13,149460,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,12240
13520,BMW,135 i,13,72900,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,13750
13527,BMW,335 i,13,86629,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,20995
13748,BMW,M3 Base,13,13250,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,45000
13798,BMW,335 i,13,92008,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,22000
13920,BMW,M3 Base,13,122141,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,22500
13953,BMW,335 i,13,122000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,9999
13980,BMW,M240 i,13,135000,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,9999
14109,BMW,335 i xDrive,13,60000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,22500
14283,BMW,335 i,13,135000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,9999
14326,BMW,M3 Base,13,72277,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,28000
14479,BMW,M3 Base,13,74508,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,20997
14558,BMW,X5 xDrive35i,13,154000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,8300
14731,BMW,535 i xDrive,13,100780,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,12000
14748,BMW,328 i,13,111000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,At least 1 accident or damage reported,14000
14779,BMW,M3 Base,13,96000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,29999
14795,BMW,X5 xDrive35i,13,92203,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,12449
14880,BMW,335 i,13,175722,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,5500
15104,BMW,X5 xDrive40i,13,120000,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,6700
15132,BMW,328 i,13,110250,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10900
15165,BMW,535 i xDrive,13,123000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,15000
15316,BMW,335 i,13,106000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,18000
15399,BMW,M3 Base,13,105000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,18000
15450,BMW,335 i,13,90000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,9000
15586,BMW,335 i xDrive,13,143250,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,11500
15688,BMW,335 i xDrive,13,125500,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,11500
15832,BMW,535 i xDrive,13,100780,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,17500
16001,BMW,M3 Base,13,19200,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,104000
16065,BMW,328 i xDrive,13,132000,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,7500
16143,BMW,X5 xDrive35i,13,130000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,7800
16159,BMW,M3 Base,13,73000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,23900
16245,BMW,X6 xDrive35i,13,99700,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,8500
16322,BMW,M3 Base,13,76200,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,41000
