id,brand,model,model_year,milage,engine,transmission,accident,price
970,Bentley,Bentayga V8,5,31875,5.0L V8 32V PDI DOHC,8-Speed Automatic,At least 1 accident or damage reported,51890
2804,Bentley,Bentayga S,5,28644,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,209995
2825,Bentley,Bentayga Activity Edition,5,41000,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,84500
4210,Bentley,Bentayga V8,5,22039,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,76000
8624,Bentley,Continental GT V8,5,32300,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,51000
9512,Bentley,Bentayga V8,5,15109,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,19212
15379,Bentley,Continental GT W12,5,63000,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,59400
16084,Bentley,Bentayga V8,5,18465,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,72000
16198,Bentley,Continental GT W12,5,69423,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,24500
24853,Bentley,Bentayga V8,5,2600,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,19212
26359,Bentley,Bentayga Azure First Edition,5,73837,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,None reported,199991
34274,Bentley,Bentayga V8,5,150000,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,12975
35518,Bentley,Bentayga Activity Edition,5,52750,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,29500
41323,Bentley,Bentayga V8,5,71962,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,32913
41467,Bentley,Bentayga V8,5,29500,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,53568
41550,Bentley,Bentayga W12 Signature,5,18000,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,49500
41575,Bentley,Continental GT V8 S,5,18950,521.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,77999
47665,Bentley,Bentayga V8,5,22039,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,41500
48943,Bentley,Bentayga V8,5,43433,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,52900
