id,brand,model,model_year,milage,engine,transmission,accident,price
11740,Buick,LaCrosse Leather,10,173452,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,9950
24246,Buick,Enclave Premium,10,170000,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,8250
24873,Buick,LaCrosse Leather,10,147191,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,12990
24963,Buick,Enclave Premium,10,86281,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,20990
25668,Buick,Enclave Leather,10,68653,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,18950
32441,Buick,Enclave 1XL,10,149437,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,11995
33849,Buick,Enclave 1XL,10,180036,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,9100
43413,Buick,LaCrosse Leather,10,125559,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,11200
43456,Buick,LaCrosse Leather,10,125559,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,7900
45379,Buick,LaCrosse Leather,10,126500,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,15000
49329,Buick,LaCrosse Base,10,129000,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,16499
49883,Buick,Enclave Leather,10,102665,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,25900
