id,brand,model,model_year,milage,engine,transmission,accident,price
509,Cadillac,CTS 2.0L Turbo Luxury,10,82900,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,18500
546,Cadillac,XTS Luxury,10,112465,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,10499
1925,Cadillac,CTS 2.0L Turbo Luxury,10,194454,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,2800
2177,Cadillac,XTS Luxury,10,125575,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,16999
2329,Cadillac,CTS Performance,10,92861,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,21000
4044,Cadillac,CTS 3.6L Premium,10,69001,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,17800
4293,Cadillac,CTS 2.0L Turbo Luxury,10,112000,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,13999
4413,Cadillac,XTS Luxury,10,70780,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,20900
4994,Cadillac,CTS Performance,10,62500,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,27500
5163,Cadillac,CTS 3.6L Premium,10,73800,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,9995
5196,Cadillac,CTS Performance,10,34988,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,39000
6103,Cadillac,SRX Standard,10,48000,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,16995
6662,Cadillac,CTS Performance,10,60000,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,36800
7052,Cadillac,ATS 3.6L Luxury,10,112000,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,17000
7622,Cadillac,CTS 3.6L Premium Luxury,10,54000,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,17000
8630,Cadillac,CTS Performance,10,34988,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,28500
9208,Cadillac,CTS Performance,10,115000,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,12000
9995,Cadillac,ATS 2.5L Luxury,10,70312,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,15750
10632,Cadillac,ATS 3.6L Luxury,10,123500,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,15000
10824,Cadillac,CTS 3.6L Premium Luxury,10,136150,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,23500
11118,Cadillac,ATS 2.5L,10,180036,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,9100
11507,Cadillac,ATS 3.6L Luxury,10,126760,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,14000
11521,Cadillac,ATS 2.5L,10,80400,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,12999
