id,brand,model,model_year,milage,engine,transmission,accident,price
1610,Chevrolet,Corvette Base,21,67800,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,22000
2619,Chevrolet,Corvette Base,21,44168,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,None reported,34000
3639,Chevrolet,Corvette Base,21,80000,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,34000
5345,Chevrolet,Corvette Base,21,145000,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,22000
5395,Chevrolet,Camaro Z28,21,119000,305.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,18500
8070,Chevrolet,Corvette Base,21,119000,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,19500
9373,Chevrolet,Corvette Base,21,143095,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,None reported,16000
9813,Chevrolet,Express 3500 LT,21,143000,260.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,At least 1 accident or damage reported,10000
10979,Chevrolet,Suburban 2500 LS,21,170000,325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,At least 1 accident or damage reported,3000
12455,Chevrolet,Corvette Base,21,172024,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,16000
16881,Chevrolet,Corvette Base,21,60000,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,28500
17907,Chevrolet,Corvette Base,21,152195,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,16999
18003,Chevrolet,Corvette Base,21,150000,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,22000
19079,Chevrolet,Corvette Base,21,16000,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,22000
20648,Chevrolet,Suburban 1500 LS,21,153800,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,At least 1 accident or damage reported,5000
20815,Chevrolet,S-10 LS Crew Cab,21,134000,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,26500
21391,Chevrolet,Corvette Base,21,75000,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,32100
22016,Chevrolet,SSR Base,21,148740,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,5800
24077,Chevrolet,Corvette Base,21,153000,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,27000
24531,Chevrolet,Corvette Base,21,87500,300.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,13999
25174,Chevrolet,Corvette Base,21,85760,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,None reported,22000
25465,Chevrolet,Silverado 1500 LS,21,87500,270.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,16995
27103,Chevrolet,Camaro Z28,21,110000,305.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,M/T,At least 1 accident or damage reported,21995
27457,Chevrolet,SSR Base,21,47885,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,197499
