id,brand,model,model_year,milage,engine,transmission,accident,price
497,Chrysler,200 C,8,123000,–,5-Speed A/T,At least 1 accident or damage reported,15000
1904,Chrysler,300C Base,8,48000,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,24999
3535,Chrysler,300 S,8,100574,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,17500
4638,Chrysler,300 S,8,38900,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,31900
8029,Chrysler,300 Touring,8,106731,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,27499
16002,Chrysler,200 Limited,8,119000,295.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,None reported,15999
22699,Chrysler,300 Base,8,38600,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,30000
31535,Chrysler,300 Touring,8,89148,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,16000
34968,Chrysler,300 S,8,100574,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,17500
35596,Chrysler,300C Base,8,231581,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,21500
36870,Chrysler,300 Base,8,66000,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,21000
38993,Chrysler,300 Touring,8,70000,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,17800
51709,Chrysler,Town & Country Touring,8,72000,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,24500
