id,brand,model,model_year,milage,engine,transmission,accident,price
44,Dodge,Challenger SXT,10,65000,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,M/T,At least 1 accident or damage reported,29444
122,Dodge,Avenger SE,10,124705,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,None reported,6499
353,Dodge,Charger R/T,10,95000,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,17900
2898,Dodge,Charger R/T,10,135000,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,15000
4297,Dodge,Charger R/T,10,96000,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,17900
4612,Dodge,Charger R/T 392,10,40000,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,31000
6524,Dodge,Charger R/T,10,58000,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,17900
6614,Dodge,Dart SE,10,87500,160.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,17900
6699,Dodge,Charger R/T,10,40000,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,19500
9098,Dodge,Charger R/T,10,65000,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,27999
9534,Dodge,Charger R/T,10,143390,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,17200
10421,Dodge,Ram 1500 ST,10,139804,310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability,A/T,At least 1 accident or damage reported,12700
11731,Dodge,Challenger SXT,10,70000,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,17800
13408,Dodge,Challenger R/T,10,78000,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,22550
15890,Dodge,Challenger R/T,10,92671,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,24950
18997,Dodge,Charger R/T,10,94500,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,13000
19110,Dodge,Challenger SRT8,10,99499,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,15000
19946,Dodge,Charger Scat Pack,10,40208,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,55000
20804,Dodge,Charger SE,10,78000,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,32000
20838,Dodge,Challenger R/T,10,80000,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,30000
27077,Dodge,Ram 2500 SLT Quad Cab,10,63250,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,17000
28294,Dodge,Charger Base,10,140401,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,12000
28994,Dodge,Charger Scat Pack,10,40208,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,38000
29232,Dodge,Durango SRT,10,57912,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,26750
36878,Dodge,Charger R/T,10,95000,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,17900
38795,Dodge,Challenger R/T,10,122000,372.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,19000
38855,Dodge,Avenger SE,10,75124,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,None reported,16499
38947,Dodge,Avenger SE,10,130000,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,None reported,19500
42564,Dodge,Charger R/T,10,116500,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,34500
47307,Dodge,Ram 1500 SLT Mega Cab,10,201509,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,15000
49899,Dodge,Charger R/T,10,41050,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,32500
51291,Dodge,Challenger SE,10,95000,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,16900
52464,Dodge,Challenger SXT,10,123500,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,13500
53130,Dodge,Challenger SRT8,10,74000,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,At least 1 accident or damage reported,30000
53304,Dodge,Durango GT,10,73049,3.6L V6 24V MPFI DOHC,8-Speed Automatic,At least 1 accident or damage reported,13310
