id,brand,model,model_year,milage,engine,transmission,accident,price
4025,Ferrari,Roma Base,2,2250,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,134999
8815,Ferrari,Roma Base,2,2250,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed Automatic,None reported,259500
10391,Ferrari,Roma Base,2,1585,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,69500
13249,Ferrari,Roma Base,2,14100,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,84500
19172,Ferrari,Roma Base,2,2250,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,104000
23894,Ferrari,Roma Base,2,2250,3.9L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,259500
24021,Ferrari,GTC4Lusso T,2,4860,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,68362
24625,Ferrari,Roma Base,2,14000,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,46900
28384,Ferrari,Roma Base,2,3000,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,84999
36680,Ferrari,Roma Base,2,3000,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,96500
38698,Ferrari,Roma Base,2,16113,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,115000
38739,Ferrari,Roma Base,2,4004,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,111000
44514,Ferrari,Roma Base,2,13800,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,82500
51364,Ferrari,720S Performance,2,48291,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,109499
52706,Ferrari,488 GTB Base,2,17761,3.9L V8 32V GDI DOHC Twin Turbo,Automatic,None reported,279991
