id,brand,model,model_year,milage,engine,transmission,accident,price
23,Ford,Mustang EcoBoost Premium,3,59500,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,36500
26,Ford,Expedition Max XLT,3,6449,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,89995
112,Ford,Expedition Max Limited,3,22270,5.0L V8 32V PDI DOHC,10-Speed Automatic,None reported,59950
178,Ford,Mustang EcoBoost Premium,3,17300,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,45000
376,Ford,F-150 Limited,3,33818,2.7L V6 24V PDI DOHC Twin Turbo,Automatic,None reported,45861
454,Ford,Explorer Platinum,3,69548,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,At least 1 accident or damage reported,42950
495,Ford,F-250 XLT,3,48000,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,None reported,51500
500,Ford,F-150 Lariat,3,33812,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,38000
637,Ford,Transit-350 Base,3,24850,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,79999
645,Ford,Bronco Badlands Advanced,3,33080,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,42000
656,Ford,F-150 XLT,3,61874,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,47995
657,Ford,Expedition Max XLT,3,7388,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,54999
703,Ford,Expedition Max Limited,3,67072,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,29900
924,Ford,Bronco Outer Banks Advanced,3,3400,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,57000
1008,Ford,F-150 XLT,3,11806,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,32300
1053,Ford,Transit-350 XLT,3,48000,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,53000
1084,Ford,Mustang Mach-E California Route 1,3,8800,290.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,29900
1284,Ford,F-150 XLT,3,23436,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,42700
1313,Ford,Bronco Outer Banks,3,19590,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,57000
1355,Ford,Expedition Timberline,3,51902,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,46750
1356,Ford,Explorer XLT,3,14700,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,82000
1447,Ford,F-150 Raptor,3,28260,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,53500
1498,Ford,F-150 Raptor,3,24207,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,38532
1727,Ford,Bronco,3,11597,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,32541
1833,Ford,Bronco Sport Big Bend,3,30176,1.5L I3 12V PDI DOHC Turbo,10-Speed Automatic,None reported,79990
1888,Ford,Transit-350 Base,3,16200,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,55000
2001,Ford,Expedition Max XLT,3,69849,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,52889
2037,Ford,F-150 Raptor,3,32957,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,42995
2068,Ford,F-150 Lariat,3,37428,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,49995
2317,Ford,Expedition Max XLT,3,51902,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,29748
2438,Ford,F-150 XLT,3,35003,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,36999
2453,Ford,Shelby GT500 Base,3,19200,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,82950
2480,Ford,Expedition Max King Ranch,3,52000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,52000
2509,Ford,Expedition Timberline,3,30301,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,At least 1 accident or damage reported,45480
2549,Ford,F-150 XLT,3,31250,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,42500
2593,Ford,Expedition Max Limited,3,30918,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,38995
2711,Ford,F-150 XLT,3,44460,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,33400
2856,Ford,F-350 King Ranch,3,2900,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,None reported,479995
2963,Ford,Expedition Max Limited,3,53500,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,33000
2994,Ford,F-150 Raptor,3,30918,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,45999
3004,Ford,F-250 Lariat,3,72200,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,None reported,279950
3095,Ford,Bronco,3,29830,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,64600
3097,Ford,F-150 XLT,3,24207,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,40036
3101,Ford,Bronco Sport Outer Banks,3,15198,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,None reported,44605
3104,Ford,Bronco Badlands Advanced,3,18000,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,75000
3129,Ford,F-250 Lariat,3,38560,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,None reported,41950
3130,Ford,Explorer XLT,3,35569,2.3L I4 16V GDI DOHC Turbo,10-Speed A/T,None reported,27500
3190,Ford,F-250 Lariat,3,45979,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,None reported,69250
3264,Ford,Edge SEL,3,47839,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,None reported,25215
3346,Ford,Shelby GT500 Base,3,2700,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,144900
3400,Ford,Transit Connect XL w/Rear Symmetrical Doors,3,14700,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,41000
3417,Ford,Edge SEL,3,21444,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,None reported,45999
3508,Ford,F-150 Lariat,3,28260,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,None reported,73897
3532,Ford,F-150 XLT,3,24781,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,None reported,349950
3548,Ford,Expedition Max Limited,3,67072,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,81500
3552,Ford,Explorer XLT,3,22187,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,At least 1 accident or damage reported,77535
3554,Ford,Shelby GT350 Base,3,7600,550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,72950
3606,Ford,Bronco Outer Banks,3,14684,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,37500
3648,Ford,F-150 Lariat,3,13700,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,52000
3652,Ford,F-250 King Ranch,3,28260,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,None reported,54900
3697,Ford,F-150 XLT,3,81778,5.0L V8 32V GDI DOHC Supercharged,Automatic,None reported,42816
3724,Ford,F-150 Lariat,3,52000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,53500
3980,Ford,Mustang Mach-E GT,3,7585,3.5L V6 24V MPFI DOHC,5-Speed Automatic,None reported,34084
4095,Ford,Explorer ST,3,39105,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,None reported,44605
4097,Ford,F-150 XLT,3,32500,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,55000
4226,Ford,F-150 XLT,3,28105,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,31755
4264,Ford,Explorer XLT,3,36544,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,None reported,33290
4375,Ford,Shelby GT350R Base,3,15600,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,At least 1 accident or damage reported,68995
4433,Ford,F-250 King Ranch,3,44000,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,At least 1 accident or damage reported,69000
4461,Ford,F-150 XLT,3,51803,5.0L V8 32V PDI DOHC,10-Speed Automatic,None reported,39366
4511,Ford,F-150 XLT,3,44486,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,43775
4622,Ford,F-350 Platinum,3,85200,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,At least 1 accident or damage reported,65499
4715,Ford,F-150 Limited,3,64957,3.5L V6 24V PDI DOHC Twin Turbo,8-Speed Automatic,None reported,29995
4809,Ford,F-250 Lariat,3,28220,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,None reported,73600
4846,Ford,F-150 XL,3,35921,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,45950
4949,Ford,Expedition Timberline,3,8911,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,At least 1 accident or damage reported,77430
4961,Ford,Explorer Platinum,3,64957,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,None reported,30999
5132,Ford,Expedition Platinum,3,35921,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,At least 1 accident or damage reported,40655
5155,Ford,F-150 Lariat,3,35902,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None reported,29645
5246,Ford,Expedition Limited,3,54225,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,76500
5253,Ford,F-150 Raptor,3,32957,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,67800
