id,brand,model,model_year,milage,engine,transmission,accident,price
18,GMC,Sierra 2500 SLE,9,116210,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,None reported,31900
180,GMC,Highlander Limited Platinum,9,107000,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,11900
447,GMC,Yukon SLT,9,53433,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,51899
845,GMC,Yukon XL 1500 SLT,9,145000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,18995
852,GMC,Sierra 1500 SLE,9,82900,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,18000
1413,GMC,Yukon XL SLT,9,85500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,27350
1530,GMC,Yukon SLT,9,110000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,30999
1680,GMC,Yukon SLT,9,99500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,26900
1962,GMC,Terrain SLT-1,9,11563,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,18300
2186,GMC,Terrain SLT-1,9,76296,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,9995
2497,GMC,Sierra 1500 SLE,9,102000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,22500
2731,GMC,Sierra 1500 SLT,9,157000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,29000
3020,GMC,Sierra 1500 SLT,9,87500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,21000
3120,GMC,Sierra 1500 SLT,9,194000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,16900
3221,GMC,Yukon XL SLT,9,97579,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,24900
3393,GMC,Terrain SLT-1,9,11563,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,14000
3690,GMC,Acadia SLT-1,9,119000,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,15000
3721,GMC,Yukon Denali,9,89144,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,26999
3939,GMC,Sierra 1500 SLT,9,55000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,84500
4011,GMC,Yukon XL SLT,9,119000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,18800
4023,GMC,Terrain SLT-1,9,91700,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,12000
4109,GMC,Sierra 1500 SL Crew Cab,9,90000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,20500
5065,GMC,Sierra 2500 Base,9,199000,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,None reported,19950
5278,GMC,Sierra 1500 SLT,9,67647,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,23000
5477,GMC,Yukon XL 1500 SLT,9,145000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,28000
5784,GMC,Yukon XL SLT,9,103500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,37000
5888,GMC,Acadia SLE-2,9,122961,3.6L V6 24V GDI DOHC,6-Speed Automatic,At least 1 accident or damage reported,39985
6512,GMC,Acadia SLE-1,9,115282,3.6L V6 24V GDI DOHC,6-Speed Automatic,At least 1 accident or damage reported,19000
6915,GMC,Yukon SLT,9,142400,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,12000
7437,GMC,Yukon XL SLT,9,94500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,59500
8028,GMC,Terrain SLT-1,9,76296,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,14500
8030,GMC,Acadia SLT-1,9,102000,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,24900
8460,GMC,Terrain SLT-1,9,11563,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,18500
8828,GMC,Sierra 1500 SLE,9,92530,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,A/T,At least 1 accident or damage reported,22000
10106,GMC,Acadia SLE-2,9,125500,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,11250
10157,GMC,Sierra 2500 Denali,9,51300,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,At least 1 accident or damage reported,28500
10843,GMC,Yukon XL SLT,9,142000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,89999
11286,GMC,Terrain SLT-1,9,76296,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,15900
11425,GMC,Terrain SLT-1,9,76296,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,14995
11541,GMC,Yukon XL AT4,9,167500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,14500
11629,GMC,Terrain SLT-1,9,106000,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,13500
11940,GMC,Acadia Denali,9,74864,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,19780
13522,GMC,Sierra 2500 Denali,9,112000,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,At least 1 accident or damage reported,19000
13697,GMC,Terrain SLT,9,78717,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,11000
13948,GMC,Terrain SLT-1,9,11563,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,13500
13951,GMC,Yukon XL SLT,9,183544,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,26000
14458,GMC,Yukon XL SLT,9,143000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,33500
15028,GMC,Yukon XL 1500 SLT,9,145000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,24950
15174,GMC,Terrain SLT-1,9,11563,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,At least 1 accident or damage reported,13250
15430,GMC,Sierra 2500 SLE,9,116210,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,None reported,29500
15985,GMC,Yukon SLE,9,80134,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,29000
15998,GMC,Sierra 2500 SLE,9,104733,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,None reported,29994
16196,GMC,Yukon SLE,9,123500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,28900
16212,GMC,Yukon XL SLT,9,123500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,15000
16220,GMC,Terrain SLT-1,9,11563,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,19500
16628,GMC,Acadia SLT-2,9,115000,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,14000
16748,GMC,Yukon Denali,9,74000,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,29950
16989,GMC,Yukon SLT,9,153843,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,24995
17410,GMC,Acadia SLT-2,9,119000,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,15000
18101,GMC,Yukon SLT,9,87248,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,None reported,19999
19290,GMC,Acadia SLE-1,9,115282,3.6L V6 24V GDI DOHC,6-Speed Automatic,At least 1 accident or damage reported,35850
19697,GMC,Terrain SLT-1,9,138700,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,7500
19955,GMC,Terrain SLT-1,9,125559,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,17495
20730,GMC,Yukon XL SLT,9,99500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,61500
21143,GMC,Yukon XL SLT,9,142671,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,36750
21755,GMC,Terrain SLT-1,9,11563,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,12500
21838,GMC,Terrain SLT-1,9,97700,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,10500
22238,GMC,Sierra 1500 SLT,9,110000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,22500
22391,GMC,Yukon SLT,9,167500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,13750
22585,GMC,Terrain SLT-1,9,115000,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,9888
23331,GMC,Terrain SLT-1,9,76296,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,7500
