id,brand,model,model_year,milage,engine,transmission,accident,price
1568,Genesis,GV70 2.5T,2,26000,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,32500
1607,Genesis,GV70 2.5T,2,11000,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,48950
3542,Genesis,GV70 2.5T,2,21057,2.5L I4 16V PDI DOHC Turbo,Automatic,None reported,46995
3701,Genesis,GV70 2.5T,2,20319,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,49995
3871,Genesis,GV80 2.5T,2,8600,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,65000
3920,Genesis,GV70 3.5T Sport,2,12000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,50000
5828,Genesis,GV80 2.5T,2,24500,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,399950
6020,Genesis,GV70 3.5T Sport,2,12500,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,29999
7131,Genesis,GV70 2.5T,2,8100,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,66200
7174,Genesis,GV70 2.5T,2,4785,2.5L I4 16V PDI DOHC Turbo,Automatic,None reported,44775
8548,Genesis,GV70 2.5T,2,7600,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,46000
8980,Genesis,GV70 3.5T Sport,2,36000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,34500
9761,Genesis,GV70 3.5T Sport,2,12900,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,63000
9982,Genesis,GV70 3.5T Sport,2,10200,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,85000
10611,Genesis,GV70 3.5T Sport,2,12900,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,45000
11262,Genesis,GV70 3.5T Sport,2,11000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,21000
13642,Genesis,G90 3.3T Premium,2,29500,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,48600
14720,Genesis,GV70 2.5T,2,10200,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,60500
17982,Genesis,GV70 3.5T Sport,2,10200,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,22000
18154,Genesis,GV70 3.5T Sport,2,15000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,53000
22246,Genesis,GV70 3.5T Sport,2,15600,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,71000
23137,Genesis,G70 3.3T,2,9500,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,56900
24113,Genesis,GV70 3.5T Sport,2,14700,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,48000
24257,Genesis,GV70 3.5T Sport,2,18665,3.5L V6 24V PDI DOHC Twin Turbo,8-Speed Automatic,None reported,62479
24798,Genesis,GV70 3.5T Sport,2,10200,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,50500
24878,Genesis,GV70 3.5T Sport,2,8200,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,57999
25352,Genesis,G70 2.0T,2,28121,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,None reported,56515
25462,Genesis,GV70 3.5T Sport,2,8700,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,69000
25612,Genesis,G80 3.8,2,4100,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,28999
27071,Genesis,GV70 3.5T Sport,2,24500,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,36750
27403,Genesis,GV70 2.5T,2,20319,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,44000
28362,Genesis,GV70 2.5T,2,13000,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,37400
28812,Genesis,GV70 3.5T Sport,2,31000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,43000
29035,Genesis,GV80 2.5T,2,15020,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,47999
30223,Genesis,GV70 2.5T,2,3752,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,None reported,47124
30525,Genesis,GV70 3.5T Sport,2,12900,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,56000
31416,Genesis,G90 3.3T Premium,2,10200,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,69500
31915,Genesis,GV70 2.5T,2,11000,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,40000
32847,Genesis,GV70 2.5T,2,27000,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,31995
34486,Genesis,G70 2.0T,2,7500,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,50000
35209,Genesis,G80 3.8,2,16307,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,209900
36447,Genesis,G80 2.5T,2,7396,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,None reported,28000
37444,Genesis,G70 3.3T,2,12000,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,41000
41908,Genesis,G90 3.3T Premium,2,9950,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,53950
42352,Genesis,GV80 2.5T,2,14676,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,None reported,22945
43748,Genesis,GV70 2.5T,2,11000,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,29999
46099,Genesis,GV70 3.5T Sport,2,10200,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,45000
46804,Genesis,G80 3.3T Sport,2,12000,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,28000
47312,Genesis,GV70 2.5T,2,20319,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,89999
47352,Genesis,GV70 3.5T Sport,2,10200,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,24900
49074,Genesis,GV70 3.5T Sport,2,15000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,78999
50222,Genesis,GV70 3.5T Sport,2,12900,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,53900
50743,Genesis,GV70 3.5T Sport,2,7600,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,36990
50932,Genesis,G80 3.8,2,11806,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,68000
51332,Genesis,GV70 2.5T,2,11000,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,62499
51547,Genesis,GV80 2.5T,2,7968,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,46999
51934,Genesis,GV70 2.5T,2,20319,281.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,44249
52546,Genesis,GV70 3.5T Sport,2,1250,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,40999
53275,Genesis,GV70 2.5T,2,15600,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,45770
53407,Genesis,G80 2.5T,2,16900,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,99999
54069,Genesis,GV80 2.5T,2,8400,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,59950
