id,brand,model,model_year,milage,engine,transmission,accident,price
3605,Honda,Passport TrailSport,7,11649,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,At least 1 accident or damage reported,18500
3637,Honda,Pilot EX-L,7,52000,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,19996
6887,Honda,Civic EX,7,61773,174.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,25950
7929,Honda,Pilot EX-L,7,83858,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,23000
8617,Honda,Accord Sport,7,66000,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,None reported,15999
10422,Honda,Accord EX-L,7,62200,190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,15000
10715,Honda,Accord Hybrid Touring,7,18000,212.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,At least 1 accident or damage reported,24000
17716,Honda,Ridgeline Black Edition,7,26000,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,37900
17998,Honda,Pilot EX-L,7,102665,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,15450
20933,Honda,Civic LX,7,86170,143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,13800
21475,Honda,Pilot EX-L,7,128000,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,23500
23604,Honda,Ridgeline Black Edition,7,91600,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,32999
27259,Honda,Pilot EX-L,7,87555,3.5L V6 24V GDI SOHC,9-Speed Automatic,At least 1 accident or damage reported,17550
28623,Honda,Pilot EX-L,7,79950,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,15995
33482,Honda,Pilot EX-L,7,86111,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,20000
41212,Honda,Ridgeline Black Edition,7,54000,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,19995
43199,Honda,Civic EX,7,83112,143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,16995
43324,Honda,Civic EX,7,68000,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,15700
47082,Honda,Accord Hybrid Touring,7,96400,212.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,None reported,18000
48811,Honda,Accord EX-L 2.0T,7,67882,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,8900
53287,Honda,Ridgeline Black Edition,7,53500,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,42950
