id,brand,model,model_year,milage,engine,transmission,accident,price
1996,Hummer,H2 Base,17,165000,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,12500
2474,Hummer,H3 Base,17,101750,239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,None reported,17900
2927,Hummer,H3 Base,17,118500,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,12900
3861,Hummer,H3 Base,17,135465,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,None reported,16500
6698,Hummer,H3 Base,17,239000,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,4000
9448,Hummer,H3 Base,17,153692,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,4-Speed A/T,None reported,9999
9449,Hummer,H2 Base,17,149961,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,15750
9963,Hummer,H3 Base,17,106000,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,12000
10561,Hummer,H2 Base,17,169900,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,14000
10618,Hummer,H3 Base,17,149961,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,6500
11171,Hummer,H3 Base,17,137333,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,4-Speed A/T,At least 1 accident or damage reported,4200
12165,Hummer,H3 Base,17,227010,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,3850
12349,Hummer,H3 Base,17,172024,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,4-Speed A/T,At least 1 accident or damage reported,7500
12987,Hummer,H3 Base,17,137333,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,4200
13001,Hummer,H3 Base,17,111000,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,None reported,6600
