id,brand,model,model_year,milage,engine,transmission,accident,price
3810,Hyundai,Elantra SE,6,32697,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,14900
4657,Hyundai,Elantra SE,6,32697,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,15900
8231,Hyundai,Tucson SE,6,16500,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,36750
8835,Hyundai,Genesis Coupe 3.8 Base,6,37800,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,37899
8958,Hyundai,Sonata SE,6,55000,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,10500
11932,Hyundai,Santa Fe Sport 2.0L Turbo Ultimate,6,45800,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,36500
16063,Hyundai,Sonata SE,6,13900,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,82500
19160,Hyundai,Elantra SE,6,28600,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,15900
19215,Hyundai,Sonata SE,6,58000,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,8100
20719,Hyundai,Elantra SE,6,32697,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,13250
21886,Hyundai,Santa Fe Sport 2.0L Turbo Ultimate,6,73846,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,At least 1 accident or damage reported,30775
22031,Hyundai,Santa Fe Sport 2.0L Turbo,6,53000,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,25500
24154,Hyundai,Sonata Sport 2.0T,6,82900,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,20900
24331,Hyundai,Sonata SE,6,42000,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,68000
