id,brand,model,model_year,milage,engine,transmission,accident,price
2217,INFINITI,QX80 Luxe,2,69000,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,51900
2533,INFINITI,Q60 3.0t Red Sport 400,2,3300,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,62000
3455,INFINITI,QX60 AUTOGRAPH,2,6000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,48000
3695,INFINITI,QX80 Luxe,2,22500,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,54500
4069,INFINITI,Q60 3.0t Red Sport 400,2,22480,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,78900
4965,INFINITI,QX80 SENSORY,2,78500,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,64500
5726,INFINITI,QX60 AUTOGRAPH,2,25000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,None reported,47000
5940,INFINITI,QX60 AUTOGRAPH,2,6000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,240000
8619,INFINITI,QX80 Luxe,2,27340,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,46000
11292,INFINITI,QX80 Luxe,2,12209,5.6L V8 32V GDI DOHC,Automatic,None reported,47645
11860,INFINITI,QX80 Base,2,8600,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,At least 1 accident or damage reported,46999
12249,INFINITI,QX60 AUTOGRAPH,2,6000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,85950
13853,INFINITI,QX60 AUTOGRAPH,2,8681,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,34600
14311,INFINITI,Q60 3.0t Red Sport 400,2,3300,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,99999
14534,INFINITI,Q60 3.0t Red Sport 400,2,10500,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,77900
15505,INFINITI,QX80 Base,2,14676,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,37000
17204,INFINITI,QX60 Base,2,14676,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,36000
22041,INFINITI,QX80 Luxe,2,49860,5.6L V8 32V GDI DOHC,9-Speed Automatic,At least 1 accident or damage reported,47645
22659,INFINITI,QX80 Luxe,2,220000,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,7900
22764,INFINITI,QX80 SENSORY,2,39000,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,66000
28426,INFINITI,QX60 AUTOGRAPH,2,8400,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,None reported,62500
28510,INFINITI,QX80 SENSORY,2,16280,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,28000
29222,INFINITI,QX60 AUTOGRAPH,2,14000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,48000
31069,INFINITI,QX60 Luxe,2,18000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,27200
32464,INFINITI,QX80 SENSORY,2,14206,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,27500
33207,INFINITI,QX80 SENSORY,2,40000,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,16999
33642,INFINITI,QX80 SENSORY,2,26520,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,68500
34258,INFINITI,QX80 Base,2,12000,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,94000
34846,INFINITI,QX80 SENSORY,2,16900,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,46000
39661,INFINITI,QX80 Luxe,2,7388,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,57480
39782,INFINITI,QX60 AUTOGRAPH,2,6840,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,None reported,44600
40636,INFINITI,G37 x,2,17500,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,30000
41721,INFINITI,QX80 Base,2,14353,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,70250
43003,INFINITI,Q50 3.0t Red Sport 400,2,22480,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,76500
43284,INFINITI,QX80 SENSORY,2,12000,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,54999
43999,INFINITI,QX80 SENSORY,2,26520,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,At least 1 accident or damage reported,48000
44536,INFINITI,QX80 Base,2,15000,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,90000
46183,INFINITI,QX80 SENSORY,2,60000,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,64990
46469,INFINITI,QX60 Luxe,2,16184,3.5L V6 24V GDI SOHC,7-Speed Automatic,None reported,125900
47526,INFINITI,QX60 AUTOGRAPH,2,6000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,57999
47878,INFINITI,Q60 3.0t Red Sport 400,2,16500,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,67000
48682,INFINITI,QX60 AUTOGRAPH,2,12700,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,76000
49002,INFINITI,QX60 AUTOGRAPH,2,6000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,57999
51396,INFINITI,QX60 Luxe,2,63400,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,36500
52366,INFINITI,QX60 Luxe,2,22500,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,46900
53796,INFINITI,QX80 SENSORY,2,18196,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,38200
