id,brand,model,model_year,milage,engine,transmission,accident,price
2045,Jaguar,F-TYPE S British Design Edition,9,59000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,30000
2256,Jaguar,F-TYPE R,9,58000,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,34900
7791,Jaguar,F-TYPE R,9,58000,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,28000
10798,Jaguar,XJ Vanden Plas,9,86000,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,29995
11489,Jaguar,XF 35t Prestige,9,80500,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,23500
12948,Jaguar,F-TYPE R,9,16002,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,42800
19106,Jaguar,XE 25t,9,41452,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,22500
19518,Jaguar,XF 3.0 Portfolio,9,110380,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,15400
19643,Jaguar,XF 3.0 Portfolio,9,62930,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,18995
19756,Jaguar,XF Premium,9,66250,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,35000
21902,Jaguar,F-TYPE S,9,74595,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,26500
23655,Jaguar,XF 3.0 Portfolio,9,71290,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,26500
24336,Jaguar,F-TYPE R,9,134000,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,51750
24958,Jaguar,XF 3.0 Portfolio,9,54000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,53000
25396,Jaguar,XK Base,9,39000,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,40999
26014,Jaguar,F-TYPE R,9,58000,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,22500
27293,Jaguar,XF 3.0 Portfolio,9,71290,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,23000
35756,Jaguar,F-TYPE R,9,74595,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,26500
36001,Jaguar,XJ8 Base,9,111000,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,17500
38912,Jaguar,XF 35t R-Sport,9,122600,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,13000
39459,Jaguar,F-TYPE R,9,58000,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,51500
39462,Jaguar,F-TYPE R,9,39250,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,49500
42788,Jaguar,XF 35t Prestige,9,47523,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,24950
42974,Jaguar,XKR Base,9,49000,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,21900
44035,Jaguar,F-TYPE S,9,35650,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,24000
48832,Jaguar,XF XFR-S,9,50000,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,19995
50379,Jaguar,F-TYPE S British Design Edition,9,58800,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,27000
50996,Jaguar,F-TYPE R,9,69000,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,53500
