id,brand,model,model_year,milage,engine,transmission,accident,price
300,Jeep,Gladiator Sport S,1,4000,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,76500
1194,Jeep,Gladiator Mojave,1,16500,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,48500
1267,Jeep,Wrangler Rubicon,1,24500,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None reported,48000
1868,Jeep,Gladiator Overland,1,9500,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,90000
2500,Jeep,Gladiator Overland,1,5400,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,95580
3288,Jeep,Wagoneer Series III,1,21057,6.4L V8 16V MPFI OHV,8-Speed Automatic,None reported,349950
6238,Jeep,Wrangler Rubicon Hard Rock,1,15583,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,9499
7113,Jeep,Grand Wagoneer Base,1,3752,6.4L V8 16V MPFI OHV,10-Speed Automatic,None reported,84620
12931,Jeep,Gladiator Rubicon,1,8794,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,55000
13124,Jeep,Gladiator Willys,1,9400,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,52500
13693,Jeep,Wrangler Rubicon,1,7000,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,48000
15841,Jeep,Wrangler Unlimited 4xe Sahara,1,5338,375.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,None reported,63500
16616,Jeep,Wrangler 80th Anniversary,1,7388,305.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,6-Speed A/T,None reported,13500
18117,Jeep,Gladiator Overland,1,1500,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,133500
21476,Jeep,Gladiator Overland,1,9000,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,75000
23394,Jeep,Wrangler Sahara Altitude,1,17000,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None reported,34500
24213,Jeep,Gladiator Rubicon,1,2500,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,47000
25397,Jeep,Wrangler Sahara Altitude,1,1563,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,62500
25857,Jeep,Wrangler Sahara Altitude,1,17000,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None reported,35000
30152,Jeep,Gladiator Overland,1,1400,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,47500
31077,Jeep,Wrangler Sahara Altitude,1,1563,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None reported,38200
32469,Jeep,Wrangler Sahara Altitude,1,15000,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None reported,48500
33471,Jeep,Gladiator Rubicon,1,8794,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,46000
34237,Jeep,Wrangler Sahara Altitude,1,17000,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,4000
35196,Jeep,Wrangler Sahara Altitude,1,7000,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,35000
36345,Jeep,Wrangler Sport,1,12758,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,None reported,127899
37878,Jeep,Wrangler Sahara Altitude,1,8000,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None reported,94000
38037,Jeep,Wrangler Sahara Altitude,1,1563,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,62500
41179,Jeep,Gladiator Overland,1,4000,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,82000
41840,Jeep,Wrangler Unlimited 4xe Sahara,1,7388,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic,None reported,49500
43608,Jeep,Wrangler Sahara Altitude,1,1750,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,36994
50492,Jeep,Gladiator Rubicon,1,4000,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,48500
