id,brand,model,model_year,milage,engine,transmission,accident,price
5348,Kia,Sportage LX,8,76495,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,22000
13150,Kia,Optima LX,8,113500,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,18900
13311,Kia,Telluride S,8,88600,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,31300
16656,Kia,Optima LX,8,109431,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,12500
20050,Kia,Sorento LX,8,54200,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,34500
24086,Kia,Telluride S,8,55400,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,22000
24245,Kia,Forte LXS,8,53452,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,9985
26417,Kia,Optima LX,8,103814,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,17000
27365,Kia,Stinger GT1,8,67686,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,19500
29796,Kia,Sorento SXL,8,73800,290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,27890
31284,Kia,Sportage LX,8,100730,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,8500
33571,Kia,Sorento EX V6,8,58000,290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,19000
38504,Kia,K900 5.0L,8,76400,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,42950
40908,Kia,Optima LX,8,65000,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,31500
41835,Kia,Forte Koup EX,8,103748,173.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,8500
42196,Kia,Sportage LX,8,96476,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,17500
43010,Kia,Sportage SX Turbo,8,9686,2.4L I4 16V GDI DOHC,6-Speed Automatic,None reported,17238
44279,Kia,Stinger GT2,8,85768,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,32750
46287,Kia,Forte Koup EX,8,103748,173.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,16250
47993,Kia,Stinger GT1,8,100730,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,9995
49256,Kia,Sorento LX V6,8,51133,3.3L V6 24V GDI DOHC,6-Speed Automatic,At least 1 accident or damage reported,21375
53730,Kia,Forte LXS,8,32697,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,15900
