id,brand,model,model_year,milage,engine,transmission,accident,price
384,Lamborghini,Urus Base,3,24781,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,38532
695,Lamborghini,Urus Base,3,9500,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,279900
1765,Lamborghini,Urus Base,3,16500,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,41950
2866,Lamborghini,Huracan LP610-4,3,25000,602.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,75000
3736,Lamborghini,Aventador SVJ Base,3,15109,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,A/T,None reported,72900
5748,Lamborghini,Urus Base,3,9500,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,101000
6173,Lamborghini,Urus Base,3,13692,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,99000
7382,Lamborghini,Urus Base,3,9500,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,147500
7525,Lamborghini,Murcielago Base,3,15000,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,A/T,None reported,78500
8362,Lamborghini,Urus Base,3,16876,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,749950
8767,Lamborghini,Urus Base,3,13692,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,129000
13740,Lamborghini,Urus Base,3,1795,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Manual,None reported,279991
16161,Lamborghini,Aventador SVJ Base,3,6987,6.5L V12 48V MPFI DOHC,7-Speed,None reported,279950
18105,Lamborghini,Huracan EVO Base,3,278,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,None reported,272950
18149,Lamborghini,Aventador SVJ Base,3,6929,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,A/T,None reported,166900
18150,Lamborghini,Urus Base,3,20069,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,97555
18283,Lamborghini,Urus Base,3,2550,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,175000
19971,Lamborghini,Urus Base,3,9500,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,93500
20073,Lamborghini,Urus Base,3,8307,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,35619
21799,Lamborghini,Gallardo SE,3,2978,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,90788
23632,Lamborghini,Urus Base,3,9500,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,469900
25700,Lamborghini,Urus Base,3,9500,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,229900
28194,Lamborghini,Urus Base,3,535,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,257000
28899,Lamborghini,Aventador SVJ Base,3,6987,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,116999
28963,Lamborghini,Huracan EVO Base,3,265,5.2L V10 40V GDI DOHC,7-Speed Manual,None reported,279950
31740,Lamborghini,Urus Base,3,71669,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,279950
41288,Lamborghini,Aventador SVJ Base,3,6987,6.5L V12 48V MPFI DOHC,7-Speed,None reported,229000
42980,Lamborghini,Huracan EVO Base,3,1869,5.2L V10 40V GDI DOHC,8-Speed Automatic,None reported,257000
43070,Lamborghini,Urus Base,3,12940,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,68000
44408,Lamborghini,Urus Base,3,9500,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,279900
45611,Lamborghini,Huracan LP580-2,3,4760,573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,184606
46647,Lamborghini,Urus Base,3,20069,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,None reported,279950
46692,Lamborghini,Urus Base,3,13692,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,94000
49823,Lamborghini,Aventador SVJ Base,3,27858,6.5L V12 48V MPFI DOHC,7-Speed,None reported,279950
53756,Lamborghini,Urus Base,3,15183,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,134999
