id,brand,model,model_year,milage,engine,transmission,accident,price
55,Land,Rover Range Rover 3.0L Supercharged HSE,6,73101,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,41599
145,Land,Rover Range Rover Velar P250 SE R-Dynamic,6,60000,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,63000
267,Land,Rover Range Rover Sport SVR,6,18000,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,48000
312,Land,Rover Range Rover Sport HSE Dynamic,6,58000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,25000
321,Land,Rover Range Rover P525 Westminster,6,35580,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,None reported,49500
398,Land,Rover Range Rover Sport Supercharged HSE,6,49208,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,25000
989,Land,Rover Range Rover Velar P380 SE R-Dynamic,6,55000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,42000
1308,Land,Rover Range Rover HSE,6,64800,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,22800
1328,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,6,36632,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,30999
1653,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,6,36632,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,65000
1856,Land,Rover Discovery SE,6,51351,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,24995
2507,Land,Rover Range Rover 3.0L Supercharged HSE,6,55000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,33700
2598,Land,Rover Range Rover Evoque SE Premium,6,42125,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,40995
3019,Land,Rover Range Rover Sport Supercharged Dynamic,6,58100,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,53499
3096,Land,Rover Range Rover Sport 3.0L Supercharged HSE,6,67000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,35999
3531,Land,Rover Range Rover Evoque SE Premium,6,26000,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,28999
3562,Land,Rover Range Rover Sport HSE,6,52300,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,37900
3638,Land,Rover Range Rover Sport HSE,6,79800,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,30500
4000,Land,Rover Range Rover Sport 3.0L Supercharged HSE,6,49208,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,35999
4053,Land,Rover Range Rover Sport HSE Dynamic,6,58000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,None reported,12500
4537,Land,Rover Range Rover P525 Westminster,6,48549,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,None reported,155700
5184,Land,Rover Range Rover Velar P250 SE R-Dynamic,6,75000,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,20000
5218,Land,Rover Range Rover Velar P250 SE R-Dynamic,6,59400,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,54000
5868,Land,Rover Range Rover Sport SVR Carbon Edition,6,19000,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,115000
5986,Land,Rover Range Rover Sport HSE,6,65000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,55000
6350,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,6,69000,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,35000
6564,Land,Rover Range Rover 5.0L V8 Supercharged,6,55000,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,45999
6756,Land,Rover Range Rover Velar P380 S,6,26300,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,38500
6904,Land,Rover Range Rover Sport HSE Dynamic,6,77690,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,44400
7521,Land,Rover Discovery HSE LUXURY,6,45468,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,32000
7551,Land,Rover Range Rover Velar P250 SE R-Dynamic,6,65680,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,72000
7972,Land,Rover Range Rover 3.0L V6 Supercharged HSE,6,55000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,50000
8129,Land,Rover Range Rover 3.0L Supercharged HSE,6,49083,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,50000
8488,Land,Rover Range Rover Velar P250 SE R-Dynamic,6,58000,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,42900
8849,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,6,18500,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,67000
8863,Land,Rover Range Rover Velar P380 S,6,73101,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,22000
10063,Land,Rover Discovery HSE LUXURY,6,70000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,28900
10224,Land,Rover Range Rover Velar P380 S,6,46000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,62900
10262,Land,Rover Range Rover Evoque SE Premium,6,42125,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,30000
10398,Land,Rover Range Rover Sport 3.0L Supercharged HSE,6,104700,V6,Automatic,At least 1 accident or damage reported,30775
10455,Land,Rover Range Rover Sport 3.0L Supercharged HSE,6,73101,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,36000
10844,Land,Rover Range Rover Sport SVR Carbon Edition,6,57500,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,133000
11070,Land,Rover Range Rover 5.0L Supercharged,6,101800,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,36500
11237,Land,Rover Discovery Sport SE R-Dynamic,6,29294,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,29000
11325,Land,Rover Range Rover 3.0L Supercharged HSE,6,73101,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,36750
12247,Land,Rover Range Rover Velar P250 SE R-Dynamic,6,50000,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,26000
12324,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,6,36648,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,130000
12587,Land,Rover Range Rover Sport Supercharged Dynamic,6,59271,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,25900
12663,Land,Rover Range Rover 3.0L V6 Supercharged HSE,6,66250,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,51000
12908,Land,Rover Range Rover Evoque SE,6,42125,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,28999
13255,Land,Rover Discovery HSE LUXURY,6,76474,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,30500
13289,Land,Rover Range Rover Velar P380 S,6,46000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,29500
13299,Land,Rover Range Rover 3.0L V6 Supercharged HSE,6,55000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,24000
13546,Land,Rover Range Rover Velar P250 SE R-Dynamic,6,55700,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,25000
13603,Land,Rover Discovery HSE,6,85000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,33000
13763,Land,Rover Range Rover Sport Supercharged Dynamic,6,58100,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,52000
13805,Land,Rover Range Rover Sport Supercharged,6,58100,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,43499
13849,Land,Rover Range Rover Sport HSE,6,57000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,65000
14276,Land,Rover Range Rover Evoque SE Premium,6,42125,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,38999
15236,Land,Rover Range Rover 3.0L Supercharged HSE,6,59271,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,38000
15334,Land,Rover Range Rover Velar P380 S,6,19800,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,78999
15360,Land,Rover Range Rover 5.0L Supercharged,6,63295,510.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,42995
15761,Land,Rover Range Rover P525 HSE SWB,6,54423,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,35000
15913,Land,Rover Range Rover Velar P380 S,6,72000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,37900
15995,Land,Rover Range Rover Sport Supercharged HSE,6,80150,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,40500
16248,Land,Rover Range Rover Sport Supercharged Dynamic,6,58000,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,43900
16906,Land,Rover Range Rover Velar P380 SE R-Dynamic,6,49899,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,29999
16960,Land,Rover Range Rover Sport SVR Carbon Edition,6,41000,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,55000
18057,Land,Rover Range Rover Velar P380 S,6,74000,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,19950
18121,Land,Rover Range Rover Supercharged LWB,6,56006,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,154900
18721,Land,Rover Range Rover Velar P250 S R-Dynamic,6,75600,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,25099
19086,Land,Rover Range Rover Evoque SE Premium,6,38000,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,32000
19359,Land,Rover Range Rover Sport Supercharged Dynamic,6,64800,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,28499
19873,Land,Rover Range Rover Velar P250 SE R-Dynamic,6,58000,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,24950
19940,Land,Rover Range Rover Sport Supercharged Dynamic,6,56000,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,54000
20024,Land,Rover Discovery HSE LUXURY,6,47200,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,44800
20898,Land,Rover Range Rover Sport HSE,6,55000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,38000
20952,Land,Rover Discovery HSE LUXURY,6,63400,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,34900
21051,Land,Rover Range Rover Sport SVR Carbon Edition,6,61000,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,68000
21314,Land,Rover Discovery HSE LUXURY,6,57918,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,At least 1 accident or damage reported,28750
21428,Land,Rover Range Rover Sport SVR,6,56006,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,59000
