id,brand,model,model_year,milage,engine,transmission,accident,price
414,Lexus,CT 200h Premium,10,110000,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,None reported,21000
487,Lexus,IS 250 Base,10,126700,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,14000
515,Lexus,IS 350 Base,10,77300,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,41100
795,Lexus,LS 460 L,10,41000,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,30000
863,Lexus,LS 460 Base,10,82963,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,26900
1180,Lexus,IS 300 Base,10,70891,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,22500
1712,Lexus,LS 460 L,10,100000,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,25500
2082,Lexus,GS 350 F Sport,10,128032,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,19990
2383,Lexus,LX 570 Three-Row,10,116300,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,37500
2875,Lexus,IS 350 Base,10,78110,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,34500
2933,Lexus,IS 350 Base,10,141209,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,16900
4536,Lexus,CT 200h Premium,10,131200,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,6-Speed A/T,None reported,14000
5743,Lexus,LS 460 Base,10,126760,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,15000
5798,Lexus,LS 460 Base,10,85500,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,15000
6260,Lexus,LS 460 Crafted Line,10,127941,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,46999
6790,Lexus,IS 350 Base,10,104000,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,23500
7296,Lexus,IS 350 Base,10,91677,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,15900
7643,Lexus,LS 460 Base,10,112465,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,20848
8275,Lexus,IS 350 Base,10,150000,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,32850
9632,Lexus,IS 350 Base,10,70891,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,14500
10470,Lexus,LS 460 L,10,106731,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,28000
10558,Lexus,CT 200h Premium,10,125519,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,At least 1 accident or damage reported,9995
