id,brand,model,model_year,milage,engine,transmission,accident,price
283,MINI,Cooper S Base,12,128000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,7500
1449,MINI,Cooper S Base,12,152000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10000
2064,MINI,Cooper S Clubman Base,12,82900,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,18900
2493,MINI,Cooper S Base,12,63500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,13500
4751,MINI,Cooper S Base,12,110022,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,8900
6868,MINI,Cooper S Base,12,91500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,13999
7921,MINI,Cooper S Base,12,91700,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,15000
8097,MINI,Cooper S Base,12,70000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,6000
8260,MINI,Cooper S Base,12,123500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,38500
9773,MINI,Cooper S Base,12,107500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,9500
13742,MINI,Cooper S Base,12,66000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,10999
14693,MINI,Cooper S Base,12,89500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,15999
18828,MINI,Cooper S Base,12,63500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10500
20511,MINI,Cooper S Base,12,66000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,10600
25033,MINI,Cooper S Base,12,44300,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,33500
27412,MINI,Cooper S Base,12,61595,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,17200
31387,MINI,Cooper S Base,12,91700,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,7000
31537,MINI,Cooper S Base,12,128000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,At least 1 accident or damage reported,10000
31709,MINI,Cooper S Base,12,118000,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,8900
32676,MINI,Cooper S Base,12,63500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10000
34477,MINI,Cooper S Base,12,106700,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,12800
34756,MINI,Cooper S Base,12,118000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,17000
35230,MINI,Cooper Base,12,104500,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,4500
35985,MINI,Cooper S Base,12,63750,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,19500
37015,MINI,Cooper S Base,12,106000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,33000
37558,MINI,Cooper S Base,12,68871,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,14300
38158,MINI,Cooper S Base,12,106000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,12000
39911,MINI,Cooper S Base,12,95170,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,14900
40176,MINI,Cooper S Base,12,63500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10750
40484,MINI,Cooper S Base,12,91545,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,13000
41435,MINI,Cooper S Base,12,94500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,17000
41479,MINI,Cooper S Base,12,127980,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,10999
42426,MINI,Countryman Cooper S ALL4,12,70700,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,13000
45023,MINI,Cooper S Base,12,81500,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,11000
45356,MINI,Cooper S Base,12,63750,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,17000
49184,MINI,Cooper S Base,12,110897,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,11500
51531,MINI,Cooper S Base,12,75600,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,14950
51629,MINI,Cooper S Base,12,152000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10000
52838,MINI,Cooper S Base,12,153250,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,4399
53942,MINI,Cooper S Base,12,66000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,11800
