id,brand,model,model_year,milage,engine,transmission,accident,price
4563,Maserati,Quattroporte S,8,23230,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,44999
4845,Maserati,Ghibli S Q4,8,53500,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,65000
8184,Maserati,Ghibli S Q4,8,49750,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,38400
10540,Maserati,Ghibli S Q4 GranSport,8,71448,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,16000
12825,Maserati,Ghibli S Q4,8,53500,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,31000
23803,Maserati,Ghibli S Q4,8,49750,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,33900
23835,Maserati,Ghibli S Q4,8,76000,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,48000
26639,Maserati,Ghibli S Q4,8,70312,405.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,22000
28950,Maserati,GranTurismo Sport,8,56578,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,17500
31118,Maserati,Ghibli S Q4,8,72000,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,34900
35897,Maserati,Ghibli S Q4,8,57500,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,29900
37507,Maserati,Ghibli S Q4,8,36000,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,34000
39619,Maserati,Ghibli S Q4,8,1000,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,36000
48098,Maserati,Ghibli S Q4,8,28700,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,49995
50474,Maserati,Ghibli S Q4,8,1000,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,36000
52010,Maserati,Ghibli S Q4,8,1000,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,65000
52052,Maserati,Ghibli S Q4,8,50000,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,32500
52791,Maserati,Ghibli S Q4,8,75000,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,15000
