id,brand,model,model_year,milage,engine,transmission,accident,price
749,Mazda,Mazda3 i Touring,10,148740,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,4700
3684,Mazda,Mazda3 i Touring,10,118500,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,None reported,11500
6832,Mazda,Mazda6 i Grand Touring,10,85000,–,A/T,At least 1 accident or damage reported,24500
9501,Mazda,MX-5 Miata Grand Touring,10,33576,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,18900
11359,Mazda,Mazda3 i Touring,10,118500,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,15500
11749,Mazda,MazdaSpeed Miata MX-5 Base,10,33362,178.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,17599
14689,Mazda,Mazda3 i Touring,10,111000,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,11800
16550,Mazda,Mazda3 i Touring,10,120250,–,A/T,None reported,10000
16569,Mazda,CX-5 Grand Touring,10,97726,2.5L I4 16V MPFI DOHC,6-Speed Automatic,None reported,15998
20427,Mazda,CX-9 Signature,10,110000,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,27000
23435,Mazda,Mazda6 i Touring,10,67100,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,18900
29203,Mazda,Mazda3 i Touring,10,118500,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,10500
32910,Mazda,Mazda3 i Touring,10,105100,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,At least 1 accident or damage reported,22000
34117,Mazda,CX-5 Touring,10,116500,2.5L I4 16V GDI DOHC,6-Speed Automatic,None reported,14311
35023,Mazda,CX-7 Grand Touring,10,106000,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,19000
36995,Mazda,CX-7 Grand Touring,10,54200,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,27750
37958,Mazda,Mazda3 i Sport,10,125575,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,15499
38805,Mazda,CX-9 Touring,10,163019,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,29995
38889,Mazda,Mazda3 i Touring,10,118500,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,11500
40060,Mazda,Mazda3 i Touring,10,118500,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,11200
41848,Mazda,Mazda6 i Touring,10,86000,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,16000
41868,Mazda,CX-30 Select,10,142314,2.5L I4 16V GDI DOHC,6-Speed Automatic,At least 1 accident or damage reported,10000
45580,Mazda,Mazda3 i Touring,10,76200,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,15750
