id,brand,model,model_year,milage,engine,transmission,accident,price
1389,McLaren,570S Spider,7,22000,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,45515
3997,McLaren,570S Spider,7,8700,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,31500
9333,McLaren,570S Base,7,37800,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,149500
9602,McLaren,570S Base,7,2000,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,30990
18144,McLaren,570S Base,7,30200,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,139000
27331,McLaren,570S Base,7,50000,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,25950
30412,McLaren,Maxima 3.5 SR,7,80300,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,32000
32832,McLaren,570S Base,7,40989,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,99000
37397,McLaren,570S Base,7,53500,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,37000
38998,McLaren,570S Base,7,80150,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,At least 1 accident or damage reported,26000
39980,McLaren,570S Spider,7,123112,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,124999
45320,McLaren,570S Base,7,25000,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,65000
