id,brand,model,model_year,milage,engine,transmission,accident,price
271,Mercedes-Benz,Metris Base,5,17000,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,72900
337,Mercedes-Benz,E-Class E 300 4MATIC,5,19500,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,At least 1 accident or damage reported,81330
452,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,5,23900,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,41000
519,Mercedes-Benz,C-Class C 300 4MATIC,5,23083,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,33500
623,Mercedes-Benz,AMG E 63 S 4MATIC,5,40000,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,57000
739,Mercedes-Benz,AMG G 63 Base,5,35943,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,69500
878,Mercedes-Benz,AMG E 63 S 4MATIC,5,17000,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,At least 1 accident or damage reported,82499
963,Mercedes-Benz,C-Class C 300 4MATIC,5,28663,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,None reported,45950
1293,Mercedes-Benz,E-Class E 300 4MATIC,5,49899,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,52500
1359,Mercedes-Benz,S-Class S 560 4MATIC,5,45791,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,55000
1683,Mercedes-Benz,C-Class C 300 4MATIC Sport,5,49626,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,43000
1745,Mercedes-Benz,GLS 450 Base 4MATIC,5,6600,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,28995
1919,Mercedes-Benz,C-Class C 300 4MATIC,5,59500,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,25980
1956,Mercedes-Benz,E-Class E 350,5,13700,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,33500
2036,Mercedes-Benz,AMG GT 63 S 4-Door,5,9500,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,135000
2038,Mercedes-Benz,AMG E 63 S 4MATIC,5,49872,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,At least 1 accident or damage reported,75000
2060,Mercedes-Benz,AMG C 63 Base,5,44800,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,52500
2071,Mercedes-Benz,S-Class S 63 AMG,5,40900,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,At least 1 accident or damage reported,59750
2216,Mercedes-Benz,A-Class A 220 4MATIC,5,30300,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,40500
2276,Mercedes-Benz,E-Class E 550,5,19300,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,69000
