id,brand,model,model_year,milage,engine,transmission,accident,price
2719,Mitsubishi,Eclipse Spyder GS,21,136400,140.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,7200
5258,Mitsubishi,Lancer Evolution Base,21,61491,271.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,18500
10462,Mitsubishi,Eclipse Spyder GT,21,62930,260.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,5000
13542,Mitsubishi,Eclipse Spyder GT,21,64500,260.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,4300
18252,Mitsubishi,Lancer Evolution Base,21,71000,271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,17500
25169,Mitsubishi,Montero Limited,21,120010,215.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,9499
25716,Mitsubishi,Eclipse GT,21,146000,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,At least 1 accident or damage reported,2500
29592,Mitsubishi,Eclipse GT,21,145000,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,4200
30897,Mitsubishi,Eclipse GT,21,146000,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,At least 1 accident or damage reported,4200
38291,Mitsubishi,Lancer Evolution Base,21,78110,271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,28000
51146,Mitsubishi,Eclipse GS,21,146000,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,None reported,5995
