id,brand,model,model_year,milage,engine,transmission,accident,price
818,Nissan,GT-R Premium,1,11256,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,105500
9266,Nissan,Armada Platinum,1,8400,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,59950
10229,Nissan,GT-R Premium,1,202,545.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,99000
15018,Nissan,Sienna XSE 25th Anniversary,1,6000,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,48000
15999,Nissan,GT-R Premium,1,31150,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,159000
21279,Nissan,GT-R Premium,1,12088,545.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,145000
23241,Nissan,Titan SV,1,7800,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,120990
25464,Nissan,Titan SV,1,7388,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,46199
27526,Nissan,Titan SV,1,534,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,62999
28755,Nissan,GT-R Premium,1,15000,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,85000
30680,Nissan,Armada SL,1,9500,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,117000
31281,Nissan,Z Proto Spec,1,19000,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,5700
37077,Nissan,GT-R Premium,1,1487,3.8L V6 24V MPFI DOHC Twin Turbo,6-Speed Automatic with Auto-Shift,None reported,272950
37828,Nissan,Z Proto Spec,1,535,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,32500
39598,Nissan,Altima 2.5 S,1,10000,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,None reported,48500
45629,Nissan,GT-R Premium,1,10400,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,43000
51286,Nissan,Niro Plug-In Hybrid EX Premium,1,1400,261.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,None reported,53900
51801,Nissan,Niro Plug-In Hybrid EX Premium,1,9408,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,None reported,81900
