id,brand,model,model_year,milage,engine,transmission,accident,price
7290,Pontiac,G8 GT,19,131000,355.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,7500
10468,Pontiac,Solstice GXP,19,7800,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,19500
16050,Pontiac,GTO Base,19,97146,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,19977
20264,Pontiac,Firebird Trans Am,19,170000,285.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,7200
22729,Pontiac,Solstice GXP,19,37100,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,19500
23536,Pontiac,GTO Base,19,142314,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,24000
30714,Pontiac,GTO Base,19,48000,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,21999
35640,Pontiac,Firebird Trans Am,19,71448,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,2800
37135,Pontiac,G6 GTP,19,100545,201.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,None reported,5995
38078,Pontiac,GTO Base,19,100545,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,19500
40073,Pontiac,GTO Base,19,142314,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,8500
42724,Pontiac,G6 GTP,19,71448,201.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,15900
45950,Pontiac,Firebird Trans Am,19,107000,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,6250
46223,Pontiac,GTO Base,19,140500,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,8500
46846,Pontiac,Firebird Trans Am,19,148800,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,None reported,4900
49736,Pontiac,Solstice GXP,19,141209,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,11000
50095,Pontiac,Solstice GXP,19,47000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,19500
