id,brand,model,model_year,milage,engine,transmission,accident,price
39,RAM,1500 Rebel,3,25500,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,53000
109,RAM,1500 Rebel,3,57300,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,43500
256,RAM,1500 Big Horn,3,44000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,46500
572,RAM,1500 Big Horn,3,22457,3.6L V6 24V MPFI DOHC,Automatic,None reported,41741
838,RAM,2500 Big Horn,3,45867,6.4L V8 16V MPFI OHV,Automatic,None reported,43449
851,RAM,1500 Laramie,3,34000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,65000
1205,RAM,1500 Big Horn,3,41800,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,28000
1501,RAM,1500 Laramie,3,22000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,45999
1522,RAM,1500 Big Horn,3,41000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,34999
1562,RAM,1500 Big Horn,3,39985,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,25221
2661,RAM,1500 Big Horn,3,91812,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,21000
2803,RAM,2500 Laramie,3,18051,5.7L V8 16V MPFI OHV,Automatic,None reported,43999
2911,RAM,1500 Laramie,3,26213,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,45515
2926,RAM,1500 Laramie,3,81301,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,32085
2946,RAM,1500 Laramie,3,30455,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,39777
2980,RAM,2500 Tradesman,3,34365,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,47500
3330,RAM,3500 Laramie,3,128000,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,At least 1 accident or damage reported,56740
3392,RAM,3500 Tradesman,3,58000,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,At least 1 accident or damage reported,53500
3435,RAM,1500 Big Horn,3,11700,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,45000
4278,RAM,1500 Big Horn,3,19200,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,143900
6653,RAM,2500 Tradesman,3,41000,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,42000
7071,RAM,1500 Laramie,3,5779,3.6L V6 24V MPFI DOHC,8-Speed Automatic,None reported,229900
7266,RAM,1500 Laramie,3,18051,5.7L V8 16V MPFI OHV,Automatic,At least 1 accident or damage reported,34955
7293,RAM,1500 Big Horn,3,39000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,37000
7817,RAM,1500 Big Horn,3,49583,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,39000
8396,RAM,1500 Big Horn,3,70968,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,37000
8397,RAM,3500 Tradesman,3,57000,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,At least 1 accident or damage reported,29800
9137,RAM,1500 Rebel,3,51000,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,6-Speed A/T,None reported,41950
9244,RAM,1500 Classic SLT,3,32092,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,42433
9414,RAM,1500 Big Horn,3,35289,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,35345
9863,RAM,3500 Tradesman,3,57000,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,None reported,49999
10877,RAM,3500 Laramie,3,17710,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,None reported,49500
11386,RAM,1500 Big Horn,3,24000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,42000
11548,RAM,1500 Big Horn,3,18051,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,399900
11568,RAM,2500 Tradesman,3,34365,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,42000
11730,RAM,1500 Big Horn,3,23436,3.6L V6 24V MPFI DOHC,Automatic,None reported,38532
11848,RAM,1500 Big Horn,3,26000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,36800
12212,RAM,1500 Big Horn,3,45000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,24500
12322,RAM,1500 Limited,3,70968,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,41100
12350,RAM,1500 Big Horn,3,110000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,45000
13443,RAM,1500 Laramie,3,17381,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,45861
13499,RAM,1500 Limited,3,44362,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,43666
13612,RAM,1500 Big Horn,3,24114,5.7L V8 16V MPFI OHV,Automatic,None reported,49685
13640,RAM,1500 Rebel,3,57300,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,43500
13997,RAM,1500 Big Horn,3,51105,6.4L V8 16V MPFI OHV,8-Speed Automatic,None reported,82500
14012,RAM,1500 Big Horn,3,9111,3.6L V6 24V MPFI DOHC,8-Speed Automatic,None reported,25215
14174,RAM,1500 Big Horn,3,35003,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,36139
14241,RAM,1500 Big Horn,3,28220,6.4L V8 16V MPFI OHV,Automatic,None reported,288900
14680,RAM,1500 Big Horn,3,24000,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,53999
14692,RAM,1500 Big Horn,3,50648,3.6L V6 24V MPFI DOHC,8-Speed Automatic,None reported,38633
14765,RAM,1500 Big Horn,3,25396,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,42995
15357,RAM,1500 Limited,3,29336,3.6L V6 24V MPFI DOHC,8-Speed Automatic,None reported,49500
16117,RAM,1500 Big Horn,3,23000,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,At least 1 accident or damage reported,17390
16438,RAM,1500 Rebel,3,4437,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None reported,57300
16641,RAM,1500 Big Horn,3,10339,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,32900
16735,RAM,1500 Laramie,3,25882,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,62595
17854,RAM,1500 Big Horn,3,12466,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,43000
18559,RAM,1500 Limited,3,29000,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None reported,51900
19002,RAM,1500 Rebel,3,11256,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,54500
19034,RAM,1500 Big Horn,3,24000,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None reported,42000
19197,RAM,1500 TRX,3,3959,702.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,48000
19230,RAM,1500 Laramie,3,50648,5.7L V8 16V MPFI OHV,8-Speed Automatic,None reported,44249
19568,RAM,ProMaster 3500 High Roof,3,30761,3.6L V6 24V GDI DOHC,6-Speed Automatic,None reported,41250
