id,brand,model,model_year,milage,engine,transmission,accident,price
3602,Rivian,R1S Adventure Package,1,655,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,94500
7458,Rivian,R1S Adventure Package,1,211,835.0HP Electric Motor Electric Fuel System,A/T,None reported,94999
13685,Rivian,R1S Adventure Package,1,542,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,65990
15424,Rivian,R1S Adventure Package,1,9281,835.0HP Electric Motor Electric Fuel System,A/T,None reported,115000
17350,Rivian,R1S Adventure Package,1,2500,835.0HP Electric Motor Electric Fuel System,A/T,None reported,91000
21964,Rivian,R1S Adventure Package,1,2800,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,93500
22217,Rivian,R1S Adventure Package,1,250,835.0HP Electric Motor Electric Fuel System,A/T,At least 1 accident or damage reported,62900
23074,Rivian,R1S Adventure Package,1,1150,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,44950
26265,Rivian,R1S Adventure Package,1,211,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,99000
29339,Rivian,R1S Adventure Package,1,655,835.0HP Electric Motor Electric Fuel System,A/T,None reported,95500
32034,Rivian,R1S Adventure Package,1,1500,835.0HP Electric Motor Electric Fuel System,A/T,None reported,130000
33156,Rivian,R1S Adventure Package,1,7900,835.0HP Electric Motor Electric Fuel System,A/T,None reported,94000
35680,Rivian,R1S Launch Edition,1,7900,835.0HP Electric Motor Electric Fuel System,A/T,None reported,54999
38931,Rivian,R1S Adventure Package,1,2500,835.0HP Electric Motor Electric Fuel System,A/T,None reported,103000
40383,Rivian,R1S Adventure Package,1,5400,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,39900
40617,Rivian,R1S Adventure Package,1,299,835.0HP Electric Motor Electric Fuel System,A/T,None reported,54500
45401,Rivian,R1S Adventure Package,1,7000,533.0HP Electric Motor Electric Fuel System,A/T,None reported,50000
46586,Rivian,R1S Adventure Package,1,2500,835.0HP Electric Motor Electric Fuel System,8-Speed A/T,None reported,159000
49071,Rivian,R1S Adventure Package,1,17500,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,95000
49927,Rivian,R1S Adventure Package,1,9000,835.0HP Electric Motor Electric Fuel System,8-Speed A/T,None reported,66000
51168,Rivian,R1S Adventure Package,1,60000,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,17900
