id,brand,model,model_year,milage,engine,transmission,accident,price
1643,Rolls-Royce,Cullinan,1,17945,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,695000
16635,Rolls-Royce,Phantom,1,1560,3.2L V6 24V MPFI DOHC,6-Speed Manual,None reported,84645
17604,Rolls-Royce,Cullinan,1,3415,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed A/T,None reported,41900
30132,Rolls-Royce,Ghost Base,1,850,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,78900
31010,Rolls-Royce,Cullinan,1,4648,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,144664
31106,Rolls-Royce,Ghost Base,1,7900,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,92000
35805,Rolls-Royce,Ghost Base,1,13666,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,None reported,63000
36914,Rolls-Royce,Cullinan,1,398,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,59900
40819,Rolls-Royce,Ghost Base,1,850,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,None reported,65990
45455,Rolls-Royce,Ghost Base,1,79000,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,None reported,79900
45497,Rolls-Royce,Phantom,1,2353,–,–,None reported,112500
48090,Rolls-Royce,Cullinan,1,115,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,None reported,175000
52955,Rolls-Royce,Phantom,1,1560,–,–,None reported,599995
