id,brand,model,model_year,milage,engine,transmission,accident,price
3411,Saturn,Sky Red Line,16,58981,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,5700
5634,Saturn,Sky Red Line,16,165000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,4000
8301,Saturn,Sky Red Line,16,183000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,24000
10412,Saturn,Sky Red Line,16,94291,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,10500
13191,Saturn,Sky Red Line,16,94291,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,12500
13777,Saturn,Sky Red Line,16,59000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,31000
15051,Saturn,Sky Red Line,16,138700,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,7000
15739,Saturn,Sky Red Line,16,111000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,11000
17026,Saturn,Sky Red Line,16,134000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,14500
21316,Saturn,Sky Red Line,16,106500,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,16500
23122,Saturn,Sky Red Line,16,94291,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,6995
23624,Saturn,Sky Red Line,16,132000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,7999
25358,Saturn,Sky Base,16,116500,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,9500
26006,Saturn,Sky Red Line,16,149460,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,7500
28979,Saturn,Sky Red Line,16,106000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,31950
31110,Saturn,Sky Red Line,16,94291,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,32000
31996,Saturn,Sky Red Line,16,134000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,7500
32448,Saturn,Sky Red Line,16,142400,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,4000
33112,Saturn,Sky Red Line,16,156350,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,5900
34783,Saturn,Sky Red Line,16,199000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,9500
36151,Saturn,Sky Red Line,16,58350,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,18998
36565,Saturn,Sky Base,16,134000,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,9500
37170,Saturn,Sky Base,16,103272,173.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,9500
37317,Saturn,Sky Red Line,16,37000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,28500
41741,Saturn,Sky Base,16,115402,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,7945
43763,Saturn,Sky Red Line,16,134000,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,11200
44032,Saturn,Sky Red Line,16,62930,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,10000
44124,Saturn,Sky Red Line,16,91140,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,None reported,13500
49353,Saturn,Sky Red Line,16,29500,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,38200
49659,Saturn,Sky Red Line,16,94291,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,10000
50142,Saturn,Sky Red Line,16,94291,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,12500
