id,brand,model,model_year,milage,engine,transmission,accident,price
1960,Scion,FR-S Monogram,10,101000,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,8500
2274,Scion,tC Anniversary Edition,10,115000,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,9500
3836,Scion,tC Release Series 6.0,10,122000,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,13995
6648,Scion,FR-S Monogram,10,82000,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,16995
9406,Scion,tC Anniversary Edition,10,73500,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,21590
12910,Scion,tC Anniversary Edition,10,115000,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,21500
16282,Scion,FR-S Monogram,10,163019,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,7900
16714,Scion,tC Anniversary Edition,10,115000,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,11495
18750,Scion,tC Anniversary Edition,10,115000,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,10500
22575,Scion,tC Anniversary Edition,10,115000,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,11495
22788,Scion,tC Anniversary Edition,10,99999,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,10998
31230,Scion,tC Base,10,115000,180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,10000
37890,Scion,tC Release Series 6.0,10,120010,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,At least 1 accident or damage reported,16500
42808,Scion,tC Anniversary Edition,10,125500,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,13850
48544,Scion,FR-S Monogram,10,163019,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,8900
48715,Scion,FR-S Monogram,10,84450,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,11200
49582,Scion,tC Anniversary Edition,10,96800,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,33900
50767,Scion,tC Anniversary Edition,10,66840,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,11000
53581,Scion,tC Anniversary Edition,10,115000,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,9495
53921,Scion,tC Release Series 6.0,10,107543,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,14200
