id,brand,model,model_year,milage,engine,transmission,accident,price
1830,Subaru,WRX Base,9,52500,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,22500
3429,Subaru,Impreza WRX STI,9,105500,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,12900
3487,Subaru,Legacy 2.5i Premium,9,78980,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,At least 1 accident or damage reported,14500
3614,Subaru,Outback 2.5i Premium,9,77000,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,None reported,17000
4452,Subaru,Outback 2.5i Limited,9,162000,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,None reported,13999
6008,Subaru,WRX Base,9,107500,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,None reported,16500
8800,Subaru,BRZ Limited,9,127500,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,31995
9308,Subaru,WRX Limited,9,91000,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,14500
9492,Subaru,Outback 2.5i Premium,9,1090,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,8500
10311,Subaru,WRX Limited,9,76000,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,26000
10392,Subaru,Outback 2.5i Premium,9,90000,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,22500
10433,Subaru,Impreza Outback Sport Wagon,9,90364,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,20990
10562,Subaru,Impreza 2.0i Sport,9,93000,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None reported,14990
10870,Subaru,BRZ Limited,9,5800,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,29950
11218,Subaru,Impreza 2.0i Sport,9,99499,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,At least 1 accident or damage reported,24000
11635,Subaru,Legacy 2.5i Premium,9,78007,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,11995
12466,Subaru,Outback 2.5i Limited,9,78007,173.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,16500
12805,Subaru,WRX Base,9,72900,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,23000
12944,Subaru,Outback 2.5i Limited,9,162000,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,13600
14210,Subaru,Forester Premium,9,42125,2.5L I4 16V GDI DOHC,Automatic CVT,At least 1 accident or damage reported,14945
14355,Subaru,Legacy 2.5i Premium,9,116000,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,At least 1 accident or damage reported,14500
