id,brand,model,model_year,milage,engine,transmission,accident,price
5402,Tesla,Model S 100D,6,38957,Electric Motor Electric Fuel System,1-Speed A/T,None reported,46750
5410,Tesla,Model 3 Long Range,6,39000,271.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,36000
5826,Tesla,Model S 100D,6,10550,518.0HP Electric Motor Electric Fuel System,A/T,None reported,21000
7000,Tesla,Model X P100D,6,52775,518.0HP Electric Motor Electric Fuel System,A/T,None reported,39500
9070,Tesla,Model S 100D,6,27000,518.0HP Electric Motor Electric Fuel System,A/T,None reported,31000
11614,Tesla,Model S P100D,6,67210,Electric Motor Electric Fuel System,1-Speed Automatic,None reported,25215
14611,Tesla,Model S P100D,6,68000,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,32999
17968,Tesla,Model 3 Standard Range Plus,6,91000,271.0HP Electric Motor Electric Fuel System,A/T,None reported,12000
20905,Tesla,Model 3 Long Range,6,61700,271.0HP Electric Motor Electric Fuel System,A/T,None reported,25900
21071,Tesla,Model S 100D,6,63400,518.0HP Electric Motor Electric Fuel System,A/T,None reported,29900
21539,Tesla,Model S 100D,6,33500,518.0HP Electric Motor Electric Fuel System,A/T,None reported,69950
21642,Tesla,Model S 100D,6,36187,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,39999
24465,Tesla,Model S 100D,6,67647,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,53000
26321,Tesla,Model X P90D,6,65800,691.0HP Electric Motor Electric Fuel System,A/T,None reported,68750
26327,Tesla,Model S P100D,6,63300,518.0HP Electric Motor Electric Fuel System,A/T,None reported,28000
27914,Tesla,Model 3 Long Range,6,69548,425.0HP Electric Motor Electric Fuel System,A/T,None reported,42900
28912,Tesla,Model X P100D,6,61000,Electric Motor Electric Fuel System,A/T,None reported,27000
31438,Tesla,Model S P100D,6,95100,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,None reported,38500
31812,Tesla,Model S 75D,6,74000,518.0HP Electric Motor Electric Fuel System,A/T,None reported,46900
40134,Tesla,Model X 75D,6,94100,518.0HP Electric Motor Electric Fuel System,A/T,None reported,45000
41106,Tesla,Model 3 Long Range,6,36187,Electric Motor Electric Fuel System,1-Speed A/T,None reported,27999
42657,Tesla,Model S 100D,6,38957,Electric Motor Electric Fuel System,1-Speed A/T,None reported,35800
43983,Tesla,Model S P100D,6,33481,Electric Motor Electric Fuel System,1-Speed A/T,None reported,47850
46941,Tesla,Model S 100D,6,83424,518.0HP Electric Motor Electric Fuel System,A/T,None reported,42800
53289,Tesla,Model 3 Standard Range Plus,6,10339,Electric Motor Electric Fuel System,A/T,None reported,34999
53356,Tesla,Model S 100D,6,69423,Electric Motor Electric Fuel System,A/T,None reported,36500
