id,brand,model,model_year,milage,engine,transmission,accident,price
139,Toyota,Highlander XLE,2,51000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,51000
496,Toyota,Tundra SR5,2,67400,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,41000
797,Toyota,Tacoma SR,2,5020,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,17900
958,Toyota,Tundra SR5,2,31000,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,43000
981,Toyota,Camry Hybrid Base,2,109000,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,At least 1 accident or damage reported,14980
1301,Toyota,Tundra Hybrid TRD Pro,2,19000,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,None reported,53000
1857,Toyota,Camaro 2SS,2,103000,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,37500
2254,Toyota,GR86 Premium,2,25352,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,46500
2267,Toyota,GR86 Base,2,14000,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,31000
3137,Toyota,Tundra Hybrid TRD Pro,2,19000,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,None reported,62500
3847,Toyota,Tundra Platinum,2,8800,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,68500
3889,Toyota,Supra A91 Edition,2,14100,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,78500
4663,Toyota,Tundra SR5,2,17500,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,54999
4785,Toyota,RAV4 Prime XSE,2,7100,302.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,A/T,None reported,48000
5553,Toyota,Supra 3.0 Premium,2,1023,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,156900
5838,Toyota,GR86 Premium,2,8400,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,42500
6392,Toyota,GR86 Base,2,7100,200.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,25000
7617,Toyota,Highlander XLE,2,10500,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,50000
8114,Toyota,Tundra Limited,2,1240,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,38999
8451,Toyota,4Runner Limited,2,9950,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,229000
9113,Toyota,Highlander XLE,2,20800,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,28000
9634,Toyota,Supra 3.0 Premium,2,6200,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,92500
10409,Toyota,Sequoia SR5,2,1539,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,At least 1 accident or damage reported,76373
11174,Toyota,Highlander XLE,2,16400,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,44000
11329,Toyota,Tundra SR5,2,12080,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,36750
11399,Toyota,C-HR LE,2,13666,2.0L I4 16V MPFI DOHC,Automatic CVT,At least 1 accident or damage reported,47756
11846,Toyota,Tundra Limited,2,15500,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,55000
12014,Toyota,GR86 Base,2,10500,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,24500
12145,Toyota,Highlander XLE,2,4437,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,22500
12279,Toyota,RAV4 Prime XSE,2,7100,302.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,A/T,None reported,54000
12934,Toyota,Tundra Limited,2,250,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,53000
12952,Toyota,Supra 3.0 Premium,2,12500,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,59500
13004,Toyota,Tundra Limited,2,29322,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,119999
13110,Toyota,Tundra Hybrid TRD Pro,2,16113,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,None reported,119900
14551,Toyota,CX-5 Grand Touring,2,76549,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,None reported,47449
15973,Toyota,Tundra SR5,2,44000,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,35000
16007,Toyota,Highlander XLE,2,24850,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,49999
17414,Toyota,Tundra Hybrid TRD Pro,2,9000,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,None reported,18300
18046,Toyota,Highlander Hybrid Limited Platinum,2,16700,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,None reported,30000
18349,Toyota,Supra 3.0 Premium,2,24850,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,49999
18764,Toyota,Tundra Limited,2,3959,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,53000
18870,Toyota,GR86 Premium,2,7300,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,34000
18914,Toyota,Tacoma TRD Pro,2,30630,3.5L V6 24V PDI DOHC,6-Speed Automatic,None reported,44605
19286,Toyota,Camry Hybrid LE,2,15000,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,None reported,48500
19984,Toyota,Camry Hybrid LE,2,19361,2.5L I4 16V PDI DOHC Hybrid,Automatic CVT,None reported,59950
20065,Toyota,GR86 Premium,2,33000,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,41999
21095,Toyota,4Runner TRD Pro,2,16156,4.0L V6 24V MPFI DOHC,10-Speed Automatic,None reported,68969
21632,Toyota,Camry Hybrid LE,2,10400,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,None reported,33500
22383,Toyota,Land Cruiser Base,2,1750,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,75000
23246,Toyota,Tundra SR5,2,8228,5.7L V8 32V MPFI DOHC,6-Speed Automatic,None reported,71400
23250,Toyota,Maverick Lariat,2,13028,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,None reported,46999
24262,Toyota,4Runner Trail,2,20500,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,104000
24708,Toyota,Camry XLE,2,26468,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,At least 1 accident or damage reported,18749
25353,Toyota,C-HR LE,2,14065,2.0L I4 16V MPFI DOHC,Automatic CVT,At least 1 accident or damage reported,24998
25416,Toyota,Highlander XLE,2,31015,3.5L V6 24V PDI DOHC,8-Speed Automatic,None reported,36999
25551,Toyota,GR86 Base,2,13400,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,33499
26256,Toyota,GR86 Premium,2,16400,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,36750
26539,Toyota,Sequoia Limited,2,24115,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,10-Speed A/T,None reported,45500
26685,Toyota,Tundra Limited,2,18500,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,51000
27653,Toyota,Tundra Hybrid Capstone,2,1025,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,None reported,26000
27774,Toyota,Camry Hybrid LE,2,20400,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,None reported,46599
28259,Toyota,Tundra Hybrid TRD Pro,2,7000,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,None reported,59980
