id,brand,model,model_year,milage,engine,transmission,accident,price
291,Volkswagen,Golf R 4-Door,11,102750,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,17999
2581,Volkswagen,Passat 2.5 SE,11,119000,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,None reported,20900
5769,Volkswagen,Golf R 4-Door,11,89999,256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,29999
7468,Volkswagen,Golf R 4-Door w/DCC & Navigation,11,66500,256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,35000
10049,Volkswagen,Jetta S,11,106000,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,9500
10144,Volkswagen,Jetta GLI,11,153350,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,4399
11061,Volkswagen,Golf R 4-Door,11,102750,256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,22000
12736,Volkswagen,CC 2.0T Sport,11,107750,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,10900
13829,Volkswagen,Golf SportWagen TSI SE,11,116000,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,10000
15230,Volkswagen,CC 2.0T Sport,11,84000,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,10000
15566,Volkswagen,Golf GTI 2.0T SE 4-Door,11,79635,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,10995
15589,Volkswagen,Golf R 4-Door,11,120000,256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,20000
16589,Volkswagen,Jetta SportWagen SE,11,122000,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,9995
16684,Volkswagen,Routan SE,11,70000,283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,14750
21481,Volkswagen,Golf R 4-Door,11,129858,256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,28998
22369,Volkswagen,New Beetle GLS,11,122000,115.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,11500
23336,Volkswagen,Golf R 4-Door,11,44000,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,31933
23396,Volkswagen,Jetta S,11,99000,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,None reported,18800
24463,Volkswagen,Golf R 4-Door,11,89000,256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,14500
36526,Volkswagen,CC 2.0T Sport,11,159890,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,11000
42170,Volkswagen,Golf R 4-Door,11,90000,256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,19950
44840,Volkswagen,CC 2.0T Sport,11,98231,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,10300
49873,Volkswagen,Golf R 4-Door w/DCC & Navigation,11,116000,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,14000
50299,Volkswagen,Golf R 4-Door,11,54000,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,29500
51606,Volkswagen,Golf R 4-Door,11,72393,256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,20900
53131,Volkswagen,CC 2.0T Sport,11,51855,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,11800
