id,brand,model,model_year,milage,engine,transmission,accident,price
812,Volvo,C70 T5,10,117000,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,At least 1 accident or damage reported,14500
2608,Volvo,328 i xDrive,10,111000,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,15000
4738,Volvo,S90 T5 Momentum,10,83420,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,21500
8926,Volvo,C30 T5 Premier Plus,10,73000,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,24900
16171,Volvo,XC70 T6 Platinum,10,98400,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,18300
37189,Volvo,XC90 Hybrid T8 R-Design,10,64800,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,6-Speed A/T,None reported,15900
38072,Volvo,XC90 T6 Inscription,10,120000,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,12000
38511,Volvo,XC90 Hybrid T8 Inscription,10,69700,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,None reported,10999
40563,Volvo,S60 T6 Momentum,10,90236,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,17000
40860,Volvo,C70 T5,10,87000,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,None reported,20900
46127,Volvo,XC90 3.2,10,91500,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,11499
